node_id,initial_energy,remaining_energy,lifetime
0,100,9.84654,300
1,100,9.09005,300
2,100,9.62622,300
3,100,9.69286,300
4,100,9.85384,300
5,100,9.61892,300
6,100,8.99121,300
7,100,9.07247,300
8,100,9.16739,300
9,100,9.1838,300
10,100,9.71141,300
11,100,9.04777,300
12,100,8.99997,300
13,100,9.14855,300
14,100,9.51931,300
15,100,9.73877,300
16,100,9.12233,300
17,100,8.99452,300
18,100,9.14546,300
19,100,9.16628,300
20,100,9.8545,300
21,100,9.1674,300
22,100,9.48198,300
23,100,9.68361,300
24,100,9.845,300
