node_id,initial_energy,remaining_energy,lifetime
0,100,9.20577,300
1,100,2.82747,300
2,100,9.36899,300
3,100,9.18576,300
4,100,9.85758,300
5,100,1.63155,300
6,100,0,293.322
7,100,0,296.402
8,100,6.52369,300
9,100,9.68466,300
10,100,6.62462,300
11,100,4.7216,300
12,100,0,284.457
13,100,6.54793,300
14,100,9.64374,300
15,100,9.18661,300
16,100,8.84123,300
17,100,9.00855,300
18,100,9.15117,300
19,100,9.19006,300
20,100,9.85561,300
21,100,9.72868,300
22,100,9.72057,300
23,100,9.71996,300
24,100,9.85054,300
